E0614 00:51:54.171492     452 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0614 00:51:54.190415     407 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ia2c (centralised_critic=False, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/ia2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
resumed from checkpoint step 2000 (latest) (10,000,000 env steps)
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 2000] return 4.00  deliveries 4  -> runs/ia2c_tiny-4ag_seed2/replays/replay_upd002000_s0.npz
  upd 2000 | return    3.600 | deliv   3.60 | blocked 11.6% | idle  0.2% | ent 0.380
  upd 2001 | return    4.000 | deliv   4.00 | blocked  9.6% | idle  0.1% | ent 0.364
  upd 2002 | return    6.400 | deliv   6.40 | blocked 14.7% | idle  0.2% | ent 0.385
  upd 2003 | return    4.400 | deliv   4.40 | blocked 14.6% | idle  0.2% | ent 0.390
  upd 2004 | return    4.200 | deliv   4.20 | blocked 10.7% | idle  0.1% | ent 0.375
  upd 2005 | return    2.900 | deliv   2.90 | blocked  8.2% | idle  0.1% | ent 0.382
  upd 2006 | return    3.300 | deliv   3.30 | blocked 11.6% | idle  0.1% | ent 0.390
  upd 2007 | return    5.000 | deliv   5.00 | blocked  7.0% | idle  0.2% | ent 0.410
  upd 2008 | return    2.900 | deliv   2.90 | blocked  8.5% | idle  0.1% | ent 0.358
  upd 2009 | return    2.700 | deliv   2.70 | blocked 22.2% | idle  0.1% | ent 0.324
  upd 2010 | return    4.200 | deliv   4.20 | blocked  8.1% | idle  0.2% | ent 0.413
  upd 2011 | return    4.300 | deliv   4.30 | blocked 16.7% | idle  0.1% | ent 0.383
  upd 2012 | return    5.400 | deliv   5.40 | blocked 13.9% | idle  0.2% | ent 0.452
  upd 2013 | return    3.900 | deliv   3.90 | blocked 18.1% | idle  0.2% | ent 0.395
  upd 2014 | return    4.700 | deliv   4.70 | blocked 15.7% | idle  0.2% | ent 0.414
  upd 2015 | return    2.400 | deliv   2.40 | blocked 14.8% | idle  0.2% | ent 0.367
  upd 2016 | return    4.400 | deliv   4.40 | blocked  7.3% | idle  0.2% | ent 0.427
  upd 2017 | return    3.400 | deliv   3.40 | blocked 13.3% | idle  0.2% | ent 0.403
  upd 2018 | return    3.400 | deliv   3.40 | blocked 17.6% | idle  0.2% | ent 0.405
  upd 2019 | return    4.400 | deliv   4.40 | blocked 13.0% | idle  0.2% | ent 0.421
  upd 2020 | return    4.300 | deliv   4.30 | blocked  9.3% | idle  0.1% | ent 0.393
  upd 2021 | return    3.700 | deliv   3.70 | blocked 18.2% | idle  0.1% | ent 0.379
  upd 2022 | return    4.100 | deliv   4.10 | blocked 18.6% | idle  0.1% | ent 0.359
  upd 2023 | return    4.700 | deliv   4.70 | blocked 13.6% | idle  0.1% | ent 0.364
  upd 2024 | return    2.100 | deliv   2.10 | blocked 14.9% | idle  0.1% | ent 0.366
  upd 2025 | return    3.200 | deliv   3.20 | blocked 17.1% | idle  0.1% | ent 0.327
  upd 2026 | return    3.900 | deliv   3.90 | blocked 14.9% | idle  0.2% | ent 0.363
  upd 2027 | return    3.200 | deliv   3.20 | blocked 22.2% | idle  0.0% | ent 0.314
  upd 2028 | return    4.600 | deliv   4.60 | blocked 18.6% | idle  0.1% | ent 0.358
  upd 2029 | return    4.300 | deliv   4.30 | blocked  8.3% | idle  0.1% | ent 0.406
  upd 2030 | return    3.500 | deliv   3.50 | blocked  8.4% | idle  0.1% | ent 0.393
  upd 2031 | return    4.000 | deliv   4.00 | blocked 20.9% | idle  0.2% | ent 0.345
  upd 2032 | return    3.800 | deliv   3.80 | blocked 17.4% | idle  0.1% | ent 0.374
  upd 2033 | return    4.500 | deliv   4.50 | blocked 11.9% | idle  0.1% | ent 0.385
  upd 2034 | return    2.700 | deliv   2.70 | blocked 12.9% | idle  0.2% | ent 0.370
  upd 2035 | return    4.100 | deliv   4.10 | blocked 13.1% | idle  0.1% | ent 0.394
  upd 2036 | return    4.200 | deliv   4.20 | blocked  9.5% | idle  0.1% | ent 0.393
  upd 2037 | return    3.500 | deliv   3.50 | blocked 11.9% | idle  0.1% | ent 0.408
  upd 2038 | return    5.700 | deliv   5.70 | blocked 13.2% | idle  0.2% | ent 0.390
  upd 2039 | return    3.900 | deliv   3.90 | blocked 16.8% | idle  0.2% | ent 0.413
  upd 2040 | return    4.300 | deliv   4.30 | blocked 14.3% | idle  0.1% | ent 0.425
  upd 2041 | return    4.900 | deliv   4.90 | blocked 12.5% | idle  0.2% | ent 0.468
  upd 2042 | return    5.000 | deliv   5.00 | blocked 10.4% | idle  0.3% | ent 0.472
  upd 2043 | return    3.300 | deliv   3.30 | blocked  8.5% | idle  0.2% | ent 0.428
  upd 2044 | return    4.200 | deliv   4.20 | blocked  7.6% | idle  0.2% | ent 0.457
  upd 2045 | return    5.100 | deliv   5.10 | blocked  9.7% | idle  0.2% | ent 0.467
  upd 2046 | return    3.100 | deliv   3.10 | blocked 12.8% | idle  0.1% | ent 0.408
  upd 2047 | return    2.800 | deliv   2.80 | blocked 16.5% | idle  0.1% | ent 0.376
  upd 2048 | return    3.300 | deliv   3.30 | blocked 14.3% | idle  0.1% | ent 0.368
  upd 2049 | return    4.600 | deliv   4.60 | blocked 18.5% | idle  0.1% | ent 0.365
