E0614 08:40:09.906223    1929 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0614 08:40:09.932381    1887 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ia2c (centralised_critic=False, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=0
run-dir=runs/ia2c_tiny-4ag_seed0  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd    0 | return    0.100 | deliv   0.10 | blocked  2.2% | idle 27.8% | ent 1.430
  upd    1 | return    0.100 | deliv   0.10 | blocked  3.1% | idle 32.1% | ent 1.450
  upd    2 | return    0.000 | deliv   0.00 | blocked  3.4% | idle 32.5% | ent 1.447
  upd    3 | return    0.200 | deliv   0.20 | blocked  4.1% | idle 26.7% | ent 1.476
  upd    4 | return    0.200 | deliv   0.20 | blocked  5.6% | idle 28.9% | ent 1.463
  upd    5 | return    0.300 | deliv   0.30 | blocked  7.5% | idle 28.7% | ent 1.461
  upd    6 | return    0.100 | deliv   0.10 | blocked  8.3% | idle 25.3% | ent 1.471
  upd    7 | return    0.300 | deliv   0.30 | blocked 12.2% | idle 25.5% | ent 1.434
  upd    8 | return    0.300 | deliv   0.30 | blocked 14.0% | idle 24.3% | ent 1.420
  upd    9 | return    0.200 | deliv   0.20 | blocked 16.6% | idle 22.2% | ent 1.388
  upd   10 | return    0.200 | deliv   0.20 | blocked 19.4% | idle 20.3% | ent 1.345
  upd   11 | return    0.400 | deliv   0.40 | blocked 23.4% | idle 18.4% | ent 1.282
  upd   12 | return    0.400 | deliv   0.40 | blocked 24.6% | idle 16.8% | ent 1.250
  upd   13 | return    0.700 | deliv   0.70 | blocked 29.0% | idle 15.2% | ent 1.213
  upd   14 | return    0.500 | deliv   0.50 | blocked 24.8% | idle 13.6% | ent 1.229
  upd   15 | return    0.200 | deliv   0.20 | blocked 26.8% | idle 13.5% | ent 1.247
  upd   16 | return    0.000 | deliv   0.00 | blocked 25.0% | idle 12.1% | ent 1.235
  upd   17 | return    0.400 | deliv   0.40 | blocked 24.0% | idle 12.5% | ent 1.258
  upd   18 | return    0.400 | deliv   0.40 | blocked 23.4% | idle 11.4% | ent 1.235
  upd   19 | return    0.000 | deliv   0.00 | blocked 20.7% | idle 12.3% | ent 1.309
  upd   20 | return    0.400 | deliv   0.40 | blocked 17.9% | idle 11.3% | ent 1.291
  upd   21 | return    0.200 | deliv   0.20 | blocked 16.1% | idle 12.7% | ent 1.352
  upd   22 | return    0.300 | deliv   0.30 | blocked 17.6% | idle 12.3% | ent 1.313
  upd   23 | return    0.200 | deliv   0.20 | blocked 14.5% | idle 12.3% | ent 1.340
  upd   24 | return    0.100 | deliv   0.10 | blocked 14.6% | idle 11.8% | ent 1.336
  upd   25 | return    0.100 | deliv   0.10 | blocked 14.1% | idle 13.0% | ent 1.378
  upd   26 | return    0.000 | deliv   0.00 | blocked 11.0% | idle 13.0% | ent 1.382
  upd   27 | return    0.000 | deliv   0.00 | blocked 13.7% | idle 14.3% | ent 1.396
  upd   28 | return    0.100 | deliv   0.10 | blocked 11.5% | idle 14.4% | ent 1.413
  upd   29 | return    0.000 | deliv   0.00 | blocked 12.0% | idle 13.7% | ent 1.392
  upd   30 | return    0.100 | deliv   0.10 | blocked 13.4% | idle 14.6% | ent 1.401
  upd   31 | return    0.200 | deliv   0.20 | blocked 12.9% | idle 14.8% | ent 1.424
  upd   32 | return    0.000 | deliv   0.00 | blocked 12.3% | idle 14.5% | ent 1.412
  upd   33 | return    0.100 | deliv   0.10 | blocked 12.2% | idle 15.2% | ent 1.415
  upd   34 | return    0.200 | deliv   0.20 | blocked 11.6% | idle 14.9% | ent 1.407
  upd   35 | return    0.000 | deliv   0.00 | blocked 13.9% | idle 15.2% | ent 1.414
  upd   36 | return    0.200 | deliv   0.20 | blocked 14.3% | idle 14.7% | ent 1.392
  upd   37 | return    0.200 | deliv   0.20 | blocked 17.5% | idle 13.3% | ent 1.324
  upd   38 | return    0.100 | deliv   0.10 | blocked 14.8% | idle 15.1% | ent 1.398
  upd   39 | return    0.100 | deliv   0.10 | blocked 20.0% | idle 13.1% | ent 1.313
  upd   40 | return    0.100 | deliv   0.10 | blocked 18.7% | idle 12.8% | ent 1.296
  upd   41 | return    0.000 | deliv   0.00 | blocked 18.1% | idle 12.9% | ent 1.319
  upd   42 | return    0.000 | deliv   0.00 | blocked 13.8% | idle 14.3% | ent 1.367
  upd   43 | return    0.100 | deliv   0.10 | blocked 12.5% | idle 14.8% | ent 1.410
  upd   44 | return    0.300 | deliv   0.30 | blocked 14.7% | idle 14.2% | ent 1.368
