E0613 00:01:58.031783   15499 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0613 00:01:58.045836   15457 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ia2c (centralised_critic=False, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/ia2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 0] return 0.00  deliveries 0  -> runs/ia2c_tiny-4ag_seed2/replays/replay_upd000000_s0.npz
  upd    0 | return    0.000 | deliv   0.00 | blocked  3.7% | idle  6.1% | ent 1.469
  upd    1 | return    0.400 | deliv   0.40 | blocked  2.9% | idle  4.8% | ent 1.468
  upd    2 | return    0.200 | deliv   0.20 | blocked  4.9% | idle  4.8% | ent 1.461
  upd    3 | return    0.200 | deliv   0.20 | blocked  5.1% | idle  4.3% | ent 1.439
  upd    4 | return    0.200 | deliv   0.20 | blocked  7.4% | idle  4.8% | ent 1.430
  upd    5 | return    0.100 | deliv   0.10 | blocked  7.7% | idle  4.1% | ent 1.379
  upd    6 | return    0.000 | deliv   0.00 | blocked 10.9% | idle  4.7% | ent 1.353
  upd    7 | return    0.600 | deliv   0.60 | blocked 12.7% | idle  4.1% | ent 1.296
  upd    8 | return    0.100 | deliv   0.10 | blocked 15.5% | idle  4.3% | ent 1.257
  upd    9 | return    0.100 | deliv   0.10 | blocked 19.6% | idle  3.7% | ent 1.204
  upd   10 | return    0.200 | deliv   0.20 | blocked 20.7% | idle  3.2% | ent 1.152
  upd   11 | return    0.000 | deliv   0.00 | blocked 23.8% | idle  3.4% | ent 1.113
  upd   12 | return    0.400 | deliv   0.40 | blocked 24.8% | idle  3.2% | ent 1.075
  upd   13 | return    0.000 | deliv   0.00 | blocked 25.6% | idle  3.0% | ent 1.030
  upd   14 | return    0.600 | deliv   0.60 | blocked 28.9% | idle  2.6% | ent 0.964
  upd   15 | return    0.300 | deliv   0.30 | blocked 30.2% | idle  2.8% | ent 0.973
  upd   16 | return    0.700 | deliv   0.70 | blocked 29.9% | idle  2.4% | ent 0.922
  upd   17 | return    0.300 | deliv   0.30 | blocked 28.7% | idle  2.2% | ent 0.931
  upd   18 | return    0.200 | deliv   0.20 | blocked 29.5% | idle  2.4% | ent 0.935
  upd   19 | return    0.500 | deliv   0.50 | blocked 27.9% | idle  2.2% | ent 0.937
  upd   20 | return    0.300 | deliv   0.30 | blocked 26.0% | idle  2.2% | ent 0.945
  upd   21 | return    0.500 | deliv   0.50 | blocked 26.2% | idle  2.1% | ent 0.964
  upd   22 | return    0.400 | deliv   0.40 | blocked 24.8% | idle  1.8% | ent 0.936
  upd   23 | return    0.500 | deliv   0.50 | blocked 25.5% | idle  1.7% | ent 0.936
  upd   24 | return    0.000 | deliv   0.00 | blocked 24.1% | idle  2.0% | ent 0.962
  upd   25 | return    0.300 | deliv   0.30 | blocked 25.2% | idle  1.7% | ent 0.954
  upd   26 | return    0.200 | deliv   0.20 | blocked 24.0% | idle  1.7% | ent 0.972
  upd   27 | return    0.400 | deliv   0.40 | blocked 22.6% | idle  1.6% | ent 0.970
  upd   28 | return    0.400 | deliv   0.40 | blocked 22.0% | idle  1.5% | ent 0.993
  upd   29 | return    0.400 | deliv   0.40 | blocked 22.0% | idle  1.4% | ent 0.987
  upd   30 | return    0.200 | deliv   0.20 | blocked 22.2% | idle  1.6% | ent 1.007
  upd   31 | return    0.200 | deliv   0.20 | blocked 22.6% | idle  1.5% | ent 0.997
  upd   32 | return    0.400 | deliv   0.40 | blocked 24.4% | idle  1.4% | ent 0.998
  upd   33 | return    0.300 | deliv   0.30 | blocked 25.7% | idle  1.3% | ent 0.984
  upd   34 | return    0.400 | deliv   0.40 | blocked 27.7% | idle  1.2% | ent 0.971
  upd   35 | return    0.700 | deliv   0.70 | blocked 29.4% | idle  1.2% | ent 0.950
  upd   36 | return    0.000 | deliv   0.00 | blocked 32.0% | idle  1.1% | ent 0.928
  upd   37 | return    0.600 | deliv   0.60 | blocked 33.6% | idle  1.2% | ent 0.907
  upd   38 | return    0.500 | deliv   0.50 | blocked 34.5% | idle  1.1% | ent 0.910
  upd   39 | return    0.200 | deliv   0.20 | blocked 33.6% | idle  1.1% | ent 0.928
  upd   40 | return    0.200 | deliv   0.20 | blocked 31.6% | idle  1.1% | ent 0.957
  upd   41 | return    0.300 | deliv   0.30 | blocked 33.3% | idle  1.2% | ent 0.966
  upd   42 | return    0.700 | deliv   0.70 | blocked 32.0% | idle  1.1% | ent 0.956
  upd   43 | return    0.700 | deliv   0.70 | blocked 33.5% | idle  0.9% | ent 0.986
  upd   44 | return    0.500 | deliv   0.50 | blocked 32.7% | idle  1.0% | ent 1.011
  upd   45 | return    0.000 | deliv   0.00 | blocked 30.3% | idle  1.2% | ent 1.056
  upd   46 | return    0.300 | deliv   0.30 | blocked 29.6% | idle  0.9% | ent 1.041
  upd   47 | return    0.100 | deliv   0.10 | blocked 27.8% | idle  0.9% | ent 1.065
  upd   48 | return    0.500 | deliv   0.50 | blocked 25.6% | idle  1.2% | ent 1.086
  upd   49 | return    0.400 | deliv   0.40 | blocked 26.8% | idle  1.0% | ent 1.078
  upd   50 | return    0.200 | deliv   0.20 | blocked 26.7% | idle  1.0% | ent 1.059
  upd   51 | return    0.500 | deliv   0.50 | blocked 27.1% | idle  1.0% | ent 1.050
  upd   52 | return    0.300 | deliv   0.30 | blocked 30.5% | idle  1.0% | ent 1.030
  upd   53 | return    0.200 | deliv   0.20 | blocked 31.0% | idle  1.1% | ent 1.002
  upd   54 | return    0.100 | deliv   0.10 | blocked 35.2% | idle  0.9% | ent 0.968
  upd   55 | return    0.200 | deliv   0.20 | blocked 35.6% | idle  0.8% | ent 0.921
  upd   56 | return    0.400 | deliv   0.40 | blocked 39.0% | idle  0.8% | ent 0.897
  upd   57 | return    0.400 | deliv   0.40 | blocked 41.5% | idle  0.8% | ent 0.856
  upd   58 | return    0.200 | deliv   0.20 | blocked 41.5% | idle  0.8% | ent 0.826
  upd   59 | return    0.100 | deliv   0.10 | blocked 44.9% | idle  0.6% | ent 0.754
  upd   60 | return    0.000 | deliv   0.00 | blocked 46.8% | idle  0.7% | ent 0.762
  upd   61 | return    0.200 | deliv   0.20 | blocked 46.9% | idle  0.6% | ent 0.744
  upd   62 | return    0.200 | deliv   0.20 | blocked 48.1% | idle  0.6% | ent 0.734
  upd   63 | return    0.000 | deliv   0.00 | blocked 46.9% | idle  0.5% | ent 0.754
