E0612 22:33:23.491862   13141 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0612 22:33:23.508828   13099 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ippo (centralised_critic=False, use_ppo=True, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/ippo_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 0] return 0.00  deliveries 0  -> runs/ippo_tiny-4ag_seed2/replays/replay_upd000000_s0.npz
  upd    0 | return    0.000 | deliv   0.00 | blocked  3.7% | idle  6.1% | ent 1.449
  upd    1 | return    0.300 | deliv   0.30 | blocked  4.1% | idle  4.9% | ent 1.448
  upd    2 | return    0.000 | deliv   0.00 | blocked  5.6% | idle  4.5% | ent 1.450
  upd    3 | return    0.200 | deliv   0.20 | blocked  5.4% | idle  4.1% | ent 1.457
  upd    4 | return    0.300 | deliv   0.30 | blocked  7.1% | idle  3.3% | ent 1.442
  upd    5 | return    0.400 | deliv   0.40 | blocked 10.5% | idle  3.0% | ent 1.390
  upd    6 | return    0.300 | deliv   0.30 | blocked 13.7% | idle  2.9% | ent 1.370
  upd    7 | return    0.400 | deliv   0.40 | blocked 16.7% | idle  2.1% | ent 1.257
  upd    8 | return    0.300 | deliv   0.30 | blocked 22.0% | idle  1.7% | ent 1.229
  upd    9 | return    0.400 | deliv   0.40 | blocked 25.3% | idle  1.6% | ent 1.178
  upd   10 | return    0.200 | deliv   0.20 | blocked 29.2% | idle  1.3% | ent 1.132
  upd   11 | return    0.100 | deliv   0.10 | blocked 32.4% | idle  1.5% | ent 1.096
  upd   12 | return    0.500 | deliv   0.50 | blocked 36.1% | idle  1.2% | ent 1.071
  upd   13 | return    0.300 | deliv   0.30 | blocked 37.4% | idle  1.1% | ent 1.138
  upd   14 | return    0.100 | deliv   0.10 | blocked 31.2% | idle  1.2% | ent 1.111
  upd   15 | return    0.500 | deliv   0.50 | blocked 35.8% | idle  0.9% | ent 1.046
  upd   16 | return    0.400 | deliv   0.40 | blocked 37.6% | idle  0.9% | ent 1.060
  upd   17 | return    0.400 | deliv   0.40 | blocked 35.2% | idle  0.7% | ent 1.059
  upd   18 | return    0.400 | deliv   0.40 | blocked 36.8% | idle  0.6% | ent 0.910
  upd   19 | return    0.100 | deliv   0.10 | blocked 46.1% | idle  0.7% | ent 0.967
  upd   20 | return    0.400 | deliv   0.40 | blocked 45.1% | idle  0.7% | ent 1.002
  upd   21 | return    0.100 | deliv   0.10 | blocked 45.0% | idle  0.8% | ent 0.906
  upd   22 | return    0.200 | deliv   0.20 | blocked 50.3% | idle  0.8% | ent 0.888
  upd   23 | return    0.000 | deliv   0.00 | blocked 51.1% | idle  0.8% | ent 0.910
  upd   24 | return    0.200 | deliv   0.20 | blocked 49.5% | idle  0.8% | ent 0.999
  upd   25 | return    0.100 | deliv   0.10 | blocked 44.5% | idle  0.8% | ent 1.055
  upd   26 | return    0.200 | deliv   0.20 | blocked 44.5% | idle  0.9% | ent 1.004
  upd   27 | return    0.000 | deliv   0.00 | blocked 49.7% | idle  0.8% | ent 0.925
  upd   28 | return    0.000 | deliv   0.00 | blocked 53.3% | idle  0.7% | ent 0.846
  upd   29 | return    0.200 | deliv   0.20 | blocked 58.2% | idle  0.7% | ent 0.729
  upd   30 | return    0.400 | deliv   0.40 | blocked 70.4% | idle  0.5% | ent 0.616
  upd   31 | return    0.000 | deliv   0.00 | blocked 63.0% | idle  0.6% | ent 0.750
  upd   32 | return    0.300 | deliv   0.30 | blocked 60.9% | idle  0.6% | ent 0.800
  upd   33 | return    0.000 | deliv   0.00 | blocked 62.6% | idle  0.6% | ent 0.706
  upd   34 | return    0.100 | deliv   0.10 | blocked 65.8% | idle  0.5% | ent 0.727
  upd   35 | return    0.200 | deliv   0.20 | blocked 61.3% | idle  0.6% | ent 0.759
