E0614 00:22:39.568782   17332 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0614 00:22:39.586518   17290 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=maa2c (centralised_critic=True, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/maa2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
resumed from checkpoint step 3000 (latest) (15,000,000 env steps)
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 3000] return 4.00  deliveries 4  -> runs/maa2c_tiny-4ag_seed2/replays/replay_upd003000_s0.npz
  upd 3000 | return    4.800 | deliv   4.80 | blocked 18.6% | idle  0.4% | ent 0.609
  upd 3001 | return    3.900 | deliv   3.90 | blocked 17.9% | idle  0.4% | ent 0.600
  upd 3002 | return    3.600 | deliv   3.60 | blocked 18.3% | idle  0.5% | ent 0.587
  upd 3003 | return    4.000 | deliv   4.00 | blocked 17.8% | idle  0.5% | ent 0.562
  upd 3004 | return    3.600 | deliv   3.60 | blocked 19.0% | idle  0.4% | ent 0.551
  upd 3005 | return    3.400 | deliv   3.40 | blocked 19.1% | idle  0.4% | ent 0.518
  upd 3006 | return    4.200 | deliv   4.20 | blocked 16.8% | idle  0.3% | ent 0.536
  upd 3007 | return    4.400 | deliv   4.40 | blocked 21.6% | idle  0.3% | ent 0.513
  upd 3008 | return    2.200 | deliv   2.20 | blocked 19.6% | idle  0.4% | ent 0.491
  upd 3009 | return    3.500 | deliv   3.50 | blocked 22.0% | idle  0.4% | ent 0.484
  upd 3010 | return    3.500 | deliv   3.50 | blocked 19.1% | idle  0.3% | ent 0.474
  upd 3011 | return    4.600 | deliv   4.60 | blocked 19.9% | idle  0.4% | ent 0.468
  upd 3012 | return    3.000 | deliv   3.00 | blocked 19.9% | idle  0.4% | ent 0.459
  upd 3013 | return    4.300 | deliv   4.30 | blocked 16.8% | idle  0.4% | ent 0.472
  upd 3014 | return    3.700 | deliv   3.70 | blocked 16.4% | idle  0.3% | ent 0.480
  upd 3015 | return    4.200 | deliv   4.20 | blocked 17.2% | idle  0.3% | ent 0.473
  upd 3016 | return    3.800 | deliv   3.80 | blocked 17.2% | idle  0.4% | ent 0.479
  upd 3017 | return    4.700 | deliv   4.70 | blocked 15.0% | idle  0.4% | ent 0.491
  upd 3018 | return    2.400 | deliv   2.40 | blocked 15.1% | idle  0.5% | ent 0.491
  upd 3019 | return    4.400 | deliv   4.40 | blocked 13.9% | idle  0.4% | ent 0.475
  upd 3020 | return    5.500 | deliv   5.50 | blocked 15.1% | idle  0.5% | ent 0.517
  upd 3021 | return    4.400 | deliv   4.40 | blocked 12.8% | idle  0.4% | ent 0.530
  upd 3022 | return    4.600 | deliv   4.60 | blocked 12.4% | idle  0.4% | ent 0.526
  upd 3023 | return    4.000 | deliv   4.00 | blocked 13.4% | idle  0.5% | ent 0.543
  upd 3024 | return    4.800 | deliv   4.80 | blocked 12.2% | idle  0.4% | ent 0.540
  upd 3025 | return    4.700 | deliv   4.70 | blocked 12.4% | idle  0.4% | ent 0.539
  upd 3026 | return    3.200 | deliv   3.20 | blocked 11.4% | idle  0.4% | ent 0.569
  upd 3027 | return    4.800 | deliv   4.80 | blocked 11.0% | idle  0.4% | ent 0.546
  upd 3028 | return    3.300 | deliv   3.30 | blocked 13.0% | idle  0.4% | ent 0.580
  upd 3029 | return    3.500 | deliv   3.50 | blocked 13.5% | idle  0.5% | ent 0.586
  upd 3030 | return    3.900 | deliv   3.90 | blocked 11.1% | idle  0.4% | ent 0.596
  upd 3031 | return    3.100 | deliv   3.10 | blocked 11.3% | idle  0.5% | ent 0.595
  upd 3032 | return    3.700 | deliv   3.70 | blocked 11.8% | idle  0.5% | ent 0.599
  upd 3033 | return    4.100 | deliv   4.10 | blocked 10.0% | idle  0.4% | ent 0.582
  upd 3034 | return    2.400 | deliv   2.40 | blocked 11.9% | idle  0.4% | ent 0.570
  upd 3035 | return    4.200 | deliv   4.20 | blocked 10.7% | idle  0.4% | ent 0.591
  upd 3036 | return    3.700 | deliv   3.70 | blocked 12.2% | idle  0.4% | ent 0.564
  upd 3037 | return    4.100 | deliv   4.10 | blocked 13.1% | idle  0.5% | ent 0.535
  upd 3038 | return    4.500 | deliv   4.50 | blocked 14.2% | idle  0.4% | ent 0.550
