E0602 22:37:41.946430     450 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0602 22:37:41.968346     401 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=maa2c (centralised_critic=True, use_ppo=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=1000  (steps/update=5000)  seed=2
run-dir=runs/maa2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd    0 | return    0.000 | deliv   0.00 | blocked  3.7% | idle  6.1% | ent 1.469
  upd    1 | return    0.200 | deliv   0.20 | blocked  4.3% | idle  4.6% | ent 1.474
  upd    2 | return    0.100 | deliv   0.10 | blocked  5.0% | idle  5.0% | ent 1.468
  upd    3 | return    0.100 | deliv   0.10 | blocked  5.8% | idle  4.6% | ent 1.455
  upd    4 | return    0.100 | deliv   0.10 | blocked  6.0% | idle  4.6% | ent 1.451
  upd    5 | return    0.400 | deliv   0.40 | blocked  7.5% | idle  4.4% | ent 1.425
  upd    6 | return    0.300 | deliv   0.30 | blocked  8.4% | idle  3.9% | ent 1.396
  upd    7 | return    0.400 | deliv   0.40 | blocked 10.4% | idle  4.6% | ent 1.392
  upd    8 | return    0.300 | deliv   0.30 | blocked 13.0% | idle  3.9% | ent 1.343
  upd    9 | return    0.200 | deliv   0.20 | blocked 13.6% | idle  4.4% | ent 1.342
  upd   10 | return    0.300 | deliv   0.30 | blocked 13.3% | idle  3.4% | ent 1.310
  upd   11 | return    0.300 | deliv   0.30 | blocked 15.7% | idle  3.6% | ent 1.295
  upd   12 | return    0.400 | deliv   0.40 | blocked 17.2% | idle  3.4% | ent 1.270
  upd   13 | return    0.400 | deliv   0.40 | blocked 17.9% | idle  3.2% | ent 1.230
  upd   14 | return    0.200 | deliv   0.20 | blocked 20.3% | idle  3.3% | ent 1.180
  upd   15 | return    0.200 | deliv   0.20 | blocked 21.7% | idle  3.1% | ent 1.154
  upd   16 | return    0.200 | deliv   0.20 | blocked 23.6% | idle  2.9% | ent 1.109
  upd   17 | return    0.200 | deliv   0.20 | blocked 26.1% | idle  2.6% | ent 1.048
  upd   18 | return    0.100 | deliv   0.10 | blocked 26.9% | idle  2.5% | ent 1.015
  upd   19 | return    0.200 | deliv   0.20 | blocked 30.5% | idle  2.4% | ent 0.970
  upd   20 | return    0.200 | deliv   0.20 | blocked 31.0% | idle  2.8% | ent 0.958
  upd   21 | return    0.400 | deliv   0.40 | blocked 33.8% | idle  2.1% | ent 0.875
