E0612 19:16:11.398704    2695 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0612 19:16:11.415257    2653 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=mappo (centralised_critic=True, use_ppo=True, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=10000  (steps/update=5000)  seed=2
run-dir=runs/mappo_evo_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 0] return 0.00  deliveries 0  -> runs/mappo_evo_tiny-4ag_seed2/replays/replay_upd000000_s0.npz
  upd    0 | return    0.000 | deliv   0.00 | blocked  3.7% | idle  6.1% | ent 1.460
  upd    1 | return    0.300 | deliv   0.30 | blocked  4.2% | idle  4.3% | ent 1.443
  upd    2 | return    0.300 | deliv   0.30 | blocked  4.5% | idle  3.8% | ent 1.434
  upd    3 | return    0.200 | deliv   0.20 | blocked  7.6% | idle  2.4% | ent 1.405
  upd    4 | return    0.100 | deliv   0.10 | blocked  9.6% | idle  2.8% | ent 1.379
  upd    5 | return    0.700 | deliv   0.70 | blocked 10.1% | idle  2.3% | ent 1.308
  upd    6 | return    0.200 | deliv   0.20 | blocked 12.3% | idle  2.4% | ent 1.308
  upd    7 | return    0.200 | deliv   0.20 | blocked 14.6% | idle  2.0% | ent 1.264
  upd    8 | return    0.500 | deliv   0.50 | blocked 16.3% | idle  1.6% | ent 1.175
  upd    9 | return    0.100 | deliv   0.10 | blocked 20.4% | idle  1.3% | ent 1.114
  upd   10 | return    0.200 | deliv   0.20 | blocked 21.8% | idle  1.0% | ent 1.124
  upd   11 | return    0.200 | deliv   0.20 | blocked 17.9% | idle  1.2% | ent 1.193
  upd   12 | return    0.100 | deliv   0.10 | blocked 14.9% | idle  1.0% | ent 1.227
  upd   13 | return    0.600 | deliv   0.60 | blocked 12.0% | idle  1.1% | ent 1.199
  upd   14 | return    0.200 | deliv   0.20 | blocked 18.9% | idle  1.1% | ent 1.180
  upd   15 | return    0.300 | deliv   0.30 | blocked 14.8% | idle  1.2% | ent 1.176
  upd   16 | return    0.400 | deliv   0.40 | blocked 13.2% | idle  0.9% | ent 1.088
  upd   17 | return    0.100 | deliv   0.10 | blocked 21.1% | idle  0.7% | ent 0.924
  upd   18 | return    0.500 | deliv   0.50 | blocked 26.7% | idle  0.6% | ent 0.917
  upd   19 | return    0.300 | deliv   0.30 | blocked 28.7% | idle  0.6% | ent 0.937
  upd   20 | return    0.200 | deliv   0.20 | blocked 24.4% | idle  0.8% | ent 0.940
  upd   21 | return    0.700 | deliv   0.70 | blocked 25.6% | idle  0.8% | ent 0.929
  upd   22 | return    0.100 | deliv   0.10 | blocked 26.8% | idle  0.8% | ent 0.938
  upd   23 | return    0.500 | deliv   0.50 | blocked 27.0% | idle  0.8% | ent 0.895
  upd   24 | return    0.200 | deliv   0.20 | blocked 25.0% | idle  0.8% | ent 0.892
  upd   25 | return    0.600 | deliv   0.60 | blocked 27.9% | idle  0.6% | ent 0.836
  upd   26 | return    0.400 | deliv   0.40 | blocked 26.1% | idle  0.7% | ent 0.885
  upd   27 | return    0.000 | deliv   0.00 | blocked 26.3% | idle  0.7% | ent 0.885
  upd   28 | return    0.300 | deliv   0.30 | blocked 23.6% | idle  0.6% | ent 0.920
  upd   29 | return    0.300 | deliv   0.30 | blocked 19.9% | idle  0.8% | ent 0.926
  upd   30 | return    0.500 | deliv   0.50 | blocked 22.8% | idle  0.6% | ent 0.896
  upd   31 | return    0.300 | deliv   0.30 | blocked 20.9% | idle  0.6% | ent 0.901
