E0603 08:29:12.503865     437 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 08:29:12.514933     391 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=mappo (centralised_critic=True, use_ppo=True, use_rnn=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/mappo_fc_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd    0 | return    0.000 | deliv   0.00 | blocked  3.3% | idle  7.1% | ent 1.415
  upd    1 | return    0.200 | deliv   0.20 | blocked  3.1% | idle  6.0% | ent 1.410
  upd    2 | return    0.000 | deliv   0.00 | blocked  4.3% | idle  7.2% | ent 1.442
  upd    3 | return    0.300 | deliv   0.30 | blocked  4.8% | idle  6.1% | ent 1.436
  upd    4 | return    0.200 | deliv   0.20 | blocked  6.4% | idle  8.0% | ent 1.467
  upd    5 | return    0.200 | deliv   0.20 | blocked  7.7% | idle  9.3% | ent 1.479
  upd    6 | return    0.200 | deliv   0.20 | blocked  8.4% | idle  8.7% | ent 1.451
  upd    7 | return    0.400 | deliv   0.40 | blocked 12.1% | idle  9.2% | ent 1.395
  upd    8 | return    0.500 | deliv   0.50 | blocked 13.6% | idle  7.8% | ent 1.345
  upd    9 | return    0.400 | deliv   0.40 | blocked 16.6% | idle  7.7% | ent 1.302
  upd   10 | return    0.300 | deliv   0.30 | blocked 21.8% | idle  7.3% | ent 1.255
  upd   11 | return    0.400 | deliv   0.40 | blocked 19.9% | idle  7.8% | ent 1.303
  upd   12 | return    0.300 | deliv   0.30 | blocked 20.0% | idle  6.6% | ent 1.221
  upd   13 | return    0.100 | deliv   0.10 | blocked 25.2% | idle  6.5% | ent 1.169
  upd   14 | return    0.400 | deliv   0.40 | blocked 30.7% | idle  5.6% | ent 1.143
  upd   15 | return    0.400 | deliv   0.40 | blocked 29.8% | idle  5.5% | ent 1.172
  upd   16 | return    0.300 | deliv   0.30 | blocked 26.0% | idle  6.2% | ent 1.214
  upd   17 | return    0.200 | deliv   0.20 | blocked 29.3% | idle  5.6% | ent 1.169
  upd   18 | return    0.300 | deliv   0.30 | blocked 31.1% | idle  5.4% | ent 1.149
  upd   19 | return    0.100 | deliv   0.10 | blocked 32.3% | idle  4.5% | ent 1.111
  upd   20 | return    0.700 | deliv   0.70 | blocked 36.8% | idle  6.1% | ent 1.087
  upd   21 | return    0.100 | deliv   0.10 | blocked 37.0% | idle  5.8% | ent 1.078
  upd   22 | return    0.300 | deliv   0.30 | blocked 37.0% | idle  4.3% | ent 1.024
  upd   23 | return    0.600 | deliv   0.60 | blocked 40.0% | idle  4.4% | ent 0.972
  upd   24 | return    0.300 | deliv   0.30 | blocked 43.8% | idle  3.0% | ent 0.836
  upd   25 | return    0.500 | deliv   0.50 | blocked 46.2% | idle  2.6% | ent 0.802
  upd   26 | return    0.200 | deliv   0.20 | blocked 45.1% | idle  2.5% | ent 0.859
  upd   27 | return    0.200 | deliv   0.20 | blocked 41.7% | idle  2.4% | ent 0.891
  upd   28 | return    0.100 | deliv   0.10 | blocked 42.3% | idle  2.5% | ent 0.860
  upd   29 | return    0.100 | deliv   0.10 | blocked 44.5% | idle  2.3% | ent 0.834
  upd   30 | return    0.400 | deliv   0.40 | blocked 51.2% | idle  2.2% | ent 0.846
  upd   31 | return    0.100 | deliv   0.10 | blocked 46.6% | idle  2.4% | ent 0.912
  upd   32 | return    0.500 | deliv   0.50 | blocked 47.2% | idle  2.5% | ent 0.894
  upd   33 | return    0.100 | deliv   0.10 | blocked 40.5% | idle  2.5% | ent 0.873
  upd   34 | return    0.100 | deliv   0.10 | blocked 47.8% | idle  2.4% | ent 0.812
  upd   35 | return    0.300 | deliv   0.30 | blocked 47.5% | idle  2.5% | ent 0.835
  upd   36 | return    0.200 | deliv   0.20 | blocked 46.2% | idle  2.7% | ent 0.857
  upd   37 | return    0.000 | deliv   0.00 | blocked 46.0% | idle  3.3% | ent 0.874
  upd   38 | return    0.100 | deliv   0.10 | blocked 49.6% | idle  3.0% | ent 0.835
  upd   39 | return    0.200 | deliv   0.20 | blocked 52.5% | idle  2.9% | ent 0.773
  upd   40 | return    0.200 | deliv   0.20 | blocked 49.4% | idle  3.1% | ent 0.803
  upd   41 | return    0.300 | deliv   0.30 | blocked 49.9% | idle  3.0% | ent 0.815
  upd   42 | return    0.100 | deliv   0.10 | blocked 49.8% | idle  2.7% | ent 0.772
  upd   43 | return    0.100 | deliv   0.10 | blocked 51.6% | idle  2.3% | ent 0.717
  upd   44 | return    0.300 | deliv   0.30 | blocked 55.9% | idle  1.9% | ent 0.603
