E0603 07:59:14.077652     439 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 07:59:14.096776     393 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=mappo (centralised_critic=True, use_ppo=True, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=600  (steps/update=5000)  seed=2
run-dir=runs/mappo_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd    0 | return    0.000 | deliv   0.00 | blocked  3.7% | idle  6.1% | ent 1.460
  upd    1 | return    0.100 | deliv   0.10 | blocked  4.2% | idle  4.4% | ent 1.417
  upd    2 | return    0.000 | deliv   0.00 | blocked  4.2% | idle  3.7% | ent 1.421
  upd    3 | return    0.100 | deliv   0.10 | blocked  4.1% | idle  3.2% | ent 1.422
  upd    4 | return    0.300 | deliv   0.30 | blocked  5.5% | idle  2.9% | ent 1.392
  upd    5 | return    0.100 | deliv   0.10 | blocked  7.0% | idle  3.3% | ent 1.391
  upd    6 | return    0.200 | deliv   0.20 | blocked  6.8% | idle  3.5% | ent 1.308
  upd    7 | return    0.200 | deliv   0.20 | blocked  8.6% | idle  4.5% | ent 1.310
  upd    8 | return    0.700 | deliv   0.70 | blocked 11.2% | idle  3.8% | ent 1.233
  upd    9 | return    0.200 | deliv   0.20 | blocked 14.0% | idle  3.4% | ent 1.209
  upd   10 | return    0.200 | deliv   0.20 | blocked 10.9% | idle  3.2% | ent 1.207
  upd   11 | return    0.400 | deliv   0.40 | blocked 14.7% | idle  3.6% | ent 1.171
  upd   12 | return    0.200 | deliv   0.20 | blocked 20.3% | idle  3.5% | ent 1.168
  upd   13 | return    0.100 | deliv   0.10 | blocked 18.5% | idle  3.3% | ent 1.188
  upd   14 | return    0.100 | deliv   0.10 | blocked 18.1% | idle  2.8% | ent 1.180
  upd   15 | return    0.500 | deliv   0.50 | blocked 10.9% | idle  2.7% | ent 1.148
  upd   16 | return    1.000 | deliv   1.00 | blocked 10.0% | idle  2.7% | ent 1.202
  upd   17 | return    0.100 | deliv   0.10 | blocked 15.0% | idle  2.4% | ent 1.141
  upd   18 | return    0.600 | deliv   0.60 | blocked 19.3% | idle  2.7% | ent 1.107
  upd   19 | return    0.000 | deliv   0.00 | blocked 21.5% | idle  3.0% | ent 1.136
  upd   20 | return    0.700 | deliv   0.70 | blocked 17.4% | idle  3.9% | ent 1.097
  upd   21 | return    0.700 | deliv   0.70 | blocked 22.9% | idle  3.6% | ent 1.066
  upd   22 | return    0.200 | deliv   0.20 | blocked 23.2% | idle  3.7% | ent 1.101
  upd   23 | return    0.400 | deliv   0.40 | blocked 22.8% | idle  3.1% | ent 1.059
  upd   24 | return    0.200 | deliv   0.20 | blocked 20.4% | idle  2.8% | ent 1.037
  upd   25 | return    0.400 | deliv   0.40 | blocked 25.6% | idle  2.5% | ent 1.001
  upd   26 | return    0.400 | deliv   0.40 | blocked 28.0% | idle  2.1% | ent 0.960
  upd   27 | return    0.200 | deliv   0.20 | blocked 27.5% | idle  1.8% | ent 1.012
  upd   28 | return    0.200 | deliv   0.20 | blocked 23.6% | idle  2.1% | ent 1.042
  upd   29 | return    0.300 | deliv   0.30 | blocked 23.0% | idle  2.0% | ent 0.989
  upd   30 | return    0.300 | deliv   0.30 | blocked 25.7% | idle  2.3% | ent 0.985
  upd   31 | return    0.400 | deliv   0.40 | blocked 25.2% | idle  2.1% | ent 0.986
