E0603 10:12:55.239575    1230 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 10:12:55.252190    1187 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=seac (per-agent A2C, seac_coef=0.0, use_rnn=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=1000  (steps/update=5000)  seed=2
run-dir=runs/seac_fc_lam0_seed2  chunk=100 updates/save
  upd    0 | return    0.100 | deliv   0.10 | blocked 17.8% | idle 12.1% | ent 1.208
  upd    1 | return    0.200 | deliv   0.20 | blocked 20.0% | idle 11.7% | ent 1.182
  upd    2 | return    0.200 | deliv   0.20 | blocked 18.0% | idle 11.2% | ent 1.188
  upd    3 | return    0.200 | deliv   0.20 | blocked 18.4% | idle 10.8% | ent 1.153
  upd    4 | return    0.100 | deliv   0.10 | blocked 19.7% | idle 11.2% | ent 1.170
  upd    5 | return    0.200 | deliv   0.20 | blocked 20.4% | idle 11.3% | ent 1.177
  upd    6 | return    0.000 | deliv   0.00 | blocked 19.8% | idle 11.8% | ent 1.214
  upd    7 | return    0.300 | deliv   0.30 | blocked 19.3% | idle 12.2% | ent 1.223
  upd    8 | return    0.100 | deliv   0.10 | blocked 19.8% | idle 12.0% | ent 1.204
  upd    9 | return    0.500 | deliv   0.50 | blocked 18.8% | idle 12.1% | ent 1.221
  upd   10 | return    0.500 | deliv   0.50 | blocked 19.1% | idle 12.0% | ent 1.229
  upd   11 | return    0.300 | deliv   0.30 | blocked 20.0% | idle 11.3% | ent 1.213
  upd   12 | return    0.200 | deliv   0.20 | blocked 17.5% | idle 11.6% | ent 1.220
  upd   13 | return    0.200 | deliv   0.20 | blocked 20.3% | idle 11.8% | ent 1.215
  upd   14 | return    0.100 | deliv   0.10 | blocked 21.0% | idle 11.7% | ent 1.210
  upd   15 | return    0.200 | deliv   0.20 | blocked 20.7% | idle 11.8% | ent 1.189
  upd   16 | return    0.400 | deliv   0.40 | blocked 16.8% | idle 12.4% | ent 1.234
  upd   17 | return    0.000 | deliv   0.00 | blocked 20.1% | idle 11.3% | ent 1.200
  upd   18 | return    0.400 | deliv   0.40 | blocked 20.8% | idle 11.2% | ent 1.176
  upd   19 | return    0.400 | deliv   0.40 | blocked 19.7% | idle 11.9% | ent 1.208
  upd   20 | return    0.400 | deliv   0.40 | blocked 18.7% | idle 11.9% | ent 1.189
  upd   21 | return    0.100 | deliv   0.10 | blocked 18.9% | idle 11.9% | ent 1.201
  upd   22 | return    0.000 | deliv   0.00 | blocked 17.6% | idle 12.3% | ent 1.236
  upd   23 | return    0.300 | deliv   0.30 | blocked 19.3% | idle 12.0% | ent 1.198
  upd   24 | return    0.300 | deliv   0.30 | blocked 19.9% | idle 12.0% | ent 1.203
  upd   25 | return    0.200 | deliv   0.20 | blocked 21.7% | idle 12.2% | ent 1.190
  upd   26 | return    0.600 | deliv   0.60 | blocked 21.3% | idle 11.5% | ent 1.166
  upd   27 | return    0.200 | deliv   0.20 | blocked 21.1% | idle 12.4% | ent 1.199
  upd   28 | return    0.300 | deliv   0.30 | blocked 21.4% | idle 12.2% | ent 1.191
  upd   29 | return    0.000 | deliv   0.00 | blocked 22.5% | idle 11.7% | ent 1.154
  upd   30 | return    0.700 | deliv   0.70 | blocked 25.8% | idle 11.5% | ent 1.126
  upd   31 | return    0.200 | deliv   0.20 | blocked 22.8% | idle 12.5% | ent 1.157
  upd   32 | return    0.100 | deliv   0.10 | blocked 23.8% | idle 12.0% | ent 1.140
  upd   33 | return    0.200 | deliv   0.20 | blocked 24.8% | idle 11.9% | ent 1.139
  upd   34 | return    0.200 | deliv   0.20 | blocked 23.6% | idle 12.5% | ent 1.160
  upd   35 | return    0.400 | deliv   0.40 | blocked 24.9% | idle 10.8% | ent 1.088
  upd   36 | return    0.600 | deliv   0.60 | blocked 26.3% | idle 11.8% | ent 1.083
  upd   37 | return    0.500 | deliv   0.50 | blocked 26.9% | idle 11.2% | ent 1.086
  upd   38 | return    0.400 | deliv   0.40 | blocked 26.0% | idle 10.7% | ent 1.082
  upd   39 | return    0.200 | deliv   0.20 | blocked 27.5% | idle 10.0% | ent 1.050
  upd   40 | return    0.300 | deliv   0.30 | blocked 30.5% | idle 10.5% | ent 1.018
  upd   41 | return    0.200 | deliv   0.20 | blocked 30.6% | idle  9.5% | ent 0.995
  upd   42 | return    0.200 | deliv   0.20 | blocked 31.2% | idle  9.9% | ent 1.000
