E0603 10:10:58.511479     450 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 10:10:58.529362     401 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=seac (per-agent A2C, seac_coef=1.0, use_rnn=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=1000  (steps/update=5000)  seed=2
run-dir=runs/seac_fc_lam1_seed2  chunk=100 updates/save
  upd    0 | return    0.100 | deliv   0.10 | blocked 17.8% | idle 12.1% | ent 1.208
  upd    1 | return    0.000 | deliv   0.00 | blocked 19.5% | idle 11.4% | ent 1.171
  upd    2 | return    0.000 | deliv   0.00 | blocked 16.3% | idle 12.5% | ent 1.205
  upd    3 | return    0.100 | deliv   0.10 | blocked 16.0% | idle 12.6% | ent 1.188
  upd    4 | return    0.100 | deliv   0.10 | blocked 16.8% | idle 13.7% | ent 1.213
  upd    5 | return    0.200 | deliv   0.20 | blocked 19.2% | idle 13.6% | ent 1.181
  upd    6 | return    0.200 | deliv   0.20 | blocked 17.7% | idle 13.6% | ent 1.201
  upd    7 | return    0.000 | deliv   0.00 | blocked 19.1% | idle 14.2% | ent 1.208
  upd    8 | return    0.100 | deliv   0.10 | blocked 19.1% | idle 14.5% | ent 1.179
  upd    9 | return    0.100 | deliv   0.10 | blocked 19.1% | idle 14.3% | ent 1.212
  upd   10 | return    0.100 | deliv   0.10 | blocked 18.1% | idle 13.9% | ent 1.189
  upd   11 | return    0.000 | deliv   0.00 | blocked 18.9% | idle 14.0% | ent 1.221
  upd   12 | return    0.200 | deliv   0.20 | blocked 19.6% | idle 13.7% | ent 1.188
  upd   13 | return    0.200 | deliv   0.20 | blocked 19.8% | idle 13.3% | ent 1.198
  upd   14 | return    0.300 | deliv   0.30 | blocked 21.7% | idle 13.1% | ent 1.138
  upd   15 | return    0.100 | deliv   0.10 | blocked 22.0% | idle 13.3% | ent 1.182
  upd   16 | return    0.300 | deliv   0.30 | blocked 21.2% | idle 13.4% | ent 1.180
  upd   17 | return    0.100 | deliv   0.10 | blocked 21.8% | idle 12.8% | ent 1.207
  upd   18 | return    0.000 | deliv   0.00 | blocked 22.1% | idle 12.2% | ent 1.180
  upd   19 | return    0.100 | deliv   0.10 | blocked 16.5% | idle 12.2% | ent 1.198
  upd   20 | return    0.000 | deliv   0.00 | blocked 20.6% | idle 12.5% | ent 1.205
  upd   21 | return    0.100 | deliv   0.10 | blocked 18.6% | idle 11.9% | ent 1.175
  upd   22 | return    0.000 | deliv   0.00 | blocked 18.6% | idle 11.1% | ent 1.174
  upd   23 | return    0.000 | deliv   0.00 | blocked 20.0% | idle 11.3% | ent 1.188
  upd   24 | return    0.100 | deliv   0.10 | blocked 20.9% | idle 11.7% | ent 1.218
  upd   25 | return    0.200 | deliv   0.20 | blocked 18.6% | idle 11.6% | ent 1.193
  upd   26 | return    0.200 | deliv   0.20 | blocked 20.0% | idle 11.4% | ent 1.192
  upd   27 | return    0.100 | deliv   0.10 | blocked 17.1% | idle 11.9% | ent 1.245
  upd   28 | return    0.000 | deliv   0.00 | blocked 18.3% | idle 11.2% | ent 1.214
  upd   29 | return    0.100 | deliv   0.10 | blocked 16.8% | idle 10.7% | ent 1.242
  upd   30 | return    0.100 | deliv   0.10 | blocked 16.2% | idle 11.2% | ent 1.233
  upd   31 | return    0.000 | deliv   0.00 | blocked 16.2% | idle 12.0% | ent 1.257
  upd   32 | return    0.100 | deliv   0.10 | blocked 15.5% | idle 12.7% | ent 1.281
  upd   33 | return    0.000 | deliv   0.00 | blocked 14.4% | idle 11.6% | ent 1.219
  upd   34 | return    0.000 | deliv   0.00 | blocked 13.2% | idle 11.6% | ent 1.215
  upd   35 | return    0.000 | deliv   0.00 | blocked 13.5% | idle 12.8% | ent 1.281
  upd   36 | return    0.000 | deliv   0.00 | blocked 13.0% | idle 13.0% | ent 1.259
  upd   37 | return    0.300 | deliv   0.30 | blocked 11.8% | idle 12.6% | ent 1.262
  upd   38 | return    0.100 | deliv   0.10 | blocked 12.1% | idle 11.9% | ent 1.201
  upd   39 | return    0.200 | deliv   0.20 | blocked 11.9% | idle 11.7% | ent 1.189
  upd   40 | return    0.100 | deliv   0.10 | blocked 11.9% | idle 13.4% | ent 1.254
  upd   41 | return    0.000 | deliv   0.00 | blocked 10.0% | idle 12.9% | ent 1.186
  upd   42 | return    0.000 | deliv   0.00 | blocked 12.1% | idle 14.8% | ent 1.298
  upd   43 | return    0.100 | deliv   0.10 | blocked 11.2% | idle 13.6% | ent 1.251
  upd   44 | return    0.000 | deliv   0.00 | blocked 10.8% | idle 14.1% | ent 1.250
  upd   45 | return    0.000 | deliv   0.00 | blocked  8.9% | idle 13.2% | ent 1.222
  upd   46 | return    0.000 | deliv   0.00 | blocked  9.5% | idle 13.5% | ent 1.186
  upd   47 | return    0.100 | deliv   0.10 | blocked  9.8% | idle 14.9% | ent 1.238
  upd   48 | return    0.000 | deliv   0.00 | blocked  9.3% | idle 14.7% | ent 1.205
  upd   49 | return    0.100 | deliv   0.10 | blocked  9.5% | idle 15.7% | ent 1.236
  upd   50 | return    0.000 | deliv   0.00 | blocked  8.9% | idle 14.3% | ent 1.208
  upd   51 | return    0.000 | deliv   0.00 | blocked  7.2% | idle 14.4% | ent 1.163
  upd   52 | return    0.000 | deliv   0.00 | blocked  7.4% | idle 14.5% | ent 1.185
  upd   53 | return    0.000 | deliv   0.00 | blocked  7.5% | idle 15.3% | ent 1.184
  upd   54 | return    0.100 | deliv   0.10 | blocked  7.3% | idle 15.0% | ent 1.155
  upd   55 | return    0.000 | deliv   0.00 | blocked  7.1% | idle 15.3% | ent 1.136
  upd   56 | return    0.000 | deliv   0.00 | blocked  8.8% | idle 16.8% | ent 1.211
  upd   57 | return    0.000 | deliv   0.00 | blocked  8.9% | idle 18.2% | ent 1.221
  upd   58 | return    0.000 | deliv   0.00 | blocked  6.3% | idle 14.6% | ent 1.152
  upd   59 | return    0.100 | deliv   0.10 | blocked  7.7% | idle 15.6% | ent 1.164
  upd   60 | return    0.000 | deliv   0.00 | blocked  7.1% | idle 17.2% | ent 1.223
  upd   61 | return    0.100 | deliv   0.10 | blocked  7.4% | idle 17.1% | ent 1.153
  upd   62 | return    0.100 | deliv   0.10 | blocked  6.1% | idle 15.8% | ent 1.152
  upd   63 | return    0.000 | deliv   0.00 | blocked  6.7% | idle 15.8% | ent 1.179
  upd   64 | return    0.100 | deliv   0.10 | blocked  6.9% | idle 17.5% | ent 1.172
  upd   65 | return    0.000 | deliv   0.00 | blocked  6.5% | idle 17.4% | ent 1.130
  upd   66 | return    0.100 | deliv   0.10 | blocked  7.0% | idle 16.0% | ent 1.211
  upd   67 | return    0.000 | deliv   0.00 | blocked  6.2% | idle 16.5% | ent 1.209
  upd   68 | return    0.000 | deliv   0.00 | blocked  6.6% | idle 16.8% | ent 1.157
  upd   69 | return    0.000 | deliv   0.00 | blocked  7.1% | idle 16.9% | ent 1.171
  upd   70 | return    0.100 | deliv   0.10 | blocked  5.8% | idle 15.5% | ent 1.131
  upd   71 | return    0.000 | deliv   0.00 | blocked  7.0% | idle 18.0% | ent 1.253
  upd   72 | return    0.000 | deliv   0.00 | blocked  6.7% | idle 16.9% | ent 1.121
  upd   73 | return    0.000 | deliv   0.00 | blocked  6.4% | idle 16.6% | ent 1.094
  upd   74 | return    0.100 | deliv   0.10 | blocked  6.7% | idle 17.5% | ent 1.141
  upd   75 | return    0.000 | deliv   0.00 | blocked  6.6% | idle 17.0% | ent 1.087
  upd   76 | return    0.100 | deliv   0.10 | blocked  6.1% | idle 16.4% | ent 1.109
  upd   77 | return    0.000 | deliv   0.00 | blocked  6.3% | idle 15.4% | ent 1.142
  upd   78 | return    0.300 | deliv   0.30 | blocked  7.6% | idle 16.8% | ent 1.107
  upd   79 | return    0.000 | deliv   0.00 | blocked  8.1% | idle 15.6% | ent 1.113
  upd   80 | return    0.300 | deliv   0.30 | blocked  8.5% | idle 16.2% | ent 1.165
  upd   81 | return    0.300 | deliv   0.30 | blocked  9.1% | idle 14.8% | ent 1.148
  upd   82 | return    0.100 | deliv   0.10 | blocked 10.1% | idle 14.8% | ent 1.163
  upd   83 | return    0.000 | deliv   0.00 | blocked  9.4% | idle 14.3% | ent 1.090
  upd   84 | return    0.200 | deliv   0.20 | blocked  9.2% | idle 13.4% | ent 1.094
  upd   85 | return    0.000 | deliv   0.00 | blocked 10.4% | idle 12.6% | ent 1.074
  upd   86 | return    0.000 | deliv   0.00 | blocked 11.2% | idle 12.2% | ent 1.060
  upd   87 | return    0.200 | deliv   0.20 | blocked  9.5% | idle 12.2% | ent 1.080
  upd   88 | return    0.000 | deliv   0.00 | blocked 13.1% | idle 12.3% | ent 1.084
  upd   89 | return    0.300 | deliv   0.30 | blocked 11.6% | idle 12.2% | ent 1.131
  upd   90 | return    0.000 | deliv   0.00 | blocked 12.4% | idle 11.6% | ent 1.034
  upd   91 | return    0.200 | deliv   0.20 | blocked 12.7% | idle 10.4% | ent 0.997
  upd   92 | return    0.000 | deliv   0.00 | blocked 12.2% | idle 11.3% | ent 1.040
